Type, State, #Threads, Swap Avg Real (ns), Swap Avg CPU (ns), Mismatch
Null, 5, 1, 13.3143, 13.3026, 0
Null, 5, 8, 28.9778, 23.1860, 0
Null, 5, 20, 55.4975, 49.2922, 0
Null, 5, 40, 168.779, 97.5708, 0
Null, 20, 1, 13.2273, 13.2161, 0
Null, 20, 8, 24.6383, 22.3506, 0
Null, 20, 20, 58.4811, 51.2012, 0
Null, 20, 40, 123.501, 65.4129, 0
Null, 100, 1, 13.5611, 13.5480, 0
Null, 100, 8, 29.3715, 23.1283, 0
Null, 100, 20, 51.9807, 46.1878, 0
Null, 100, 40, 131.600, 75.7592, 0
Synchronized, 5, 1, 21.1055, 21.0900, 0
Synchronized, 5, 8, 1651.65, 683.473, 0
Synchronized, 5, 20, 4084.83, 675.317, 0
Synchronized, 5, 40, 9284.31, 781.267, 0
Synchronized, 20, 1, 22.2718, 22.2564, 0
Synchronized, 20, 8, 1933.35, 802.226, 0
Synchronized, 20, 20, 4672.88, 765.114, 0
Synchronized, 20, 40, 9178.63, 744.062, 0
Synchronized, 100, 1, 23.4928, 23.4768, 0
Synchronized, 100, 8, 2045.19, 805.960, 0
Synchronized, 100, 20, 5337.57, 842.458, 0
Synchronized, 100, 40, 10475.9, 830.746, 0
Unsynchronized, 5, 1, 14.9588, 14.9460, 0
Unsynchronized, 5, 8, 192.327, 178.220, -49461
Unsynchronized, 5, 20, 838.247, 815.222, -14095
Unsynchronized, 5, 40, 1062.32, 768.369, 89466
Unsynchronized, 20, 1, 15.3969, 15.3851, 0
Unsynchronized, 20, 8, 392.927, 377.997, -15063
Unsynchronized, 20, 20, 897.538, 872.928, -11691
Unsynchronized, 20, 40, 1538.71, 1112.27, -19901
Unsynchronized, 100, 1, 16.7073, 16.6968, 0
Unsynchronized, 100, 8, 370.096, 368.510, -17923
Unsynchronized, 100, 20, 688.831, 670.115, -21108
Unsynchronized, 100, 40, 1157.65, 848.497, -28282
AcmeSafe, 5, 1, 26.9739, 26.9587, 0
AcmeSafe, 5, 8, 663.560, 628.644, 0
AcmeSafe, 5, 20, 2348.78, 2251.86, 0
AcmeSafe, 5, 40, 2837.77, 2027.16, 0
AcmeSafe, 20, 1, 26.4344, 26.4246, 0
AcmeSafe, 20, 8, 1063.31, 1030.43, 0
AcmeSafe, 20, 20, 2233.06, 2186.56, 0
AcmeSafe, 20, 40, 3442.21, 2554.84, 0
AcmeSafe, 100, 1, 27.3442, 27.3256, 0
AcmeSafe, 100, 8, 467.352, 464.881, 0
AcmeSafe, 100, 20, 916.681, 896.745, 0
AcmeSafe, 100, 40, 1875.47, 1387.66, 0
